Notes	2013 Urbanization	2013 Urbanization Code	Infant Age Groups	Infant Age Groups Code	UCD - ICD-10 130 Cause List (Infants)	UCD - ICD-10 130 Cause List (Infants) Code	Deaths	Population	Crude Rate
	Large Central Metro	1	< 1 day	1d	Certain infectious and parasitic diseases (A00-B99)	GR130-001	29	22969673	0
	Large Central Metro	1	< 1 day	1d	Viral diseases (A80-B34)	GR130-012	14	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	Neoplasms (C00-D48)	GR130-023	87	22969673	0
	Large Central Metro	1	< 1 day	1d	#Malignant neoplasms (C00-C97)	GR130-024	14	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"Other and unspecified malignant neoplasms (C00-C80,C88,C90,C96-C97)"	GR130-027	12	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	GR130-028	73	22969673	0
	Large Central Metro	1	< 1 day	1d	#Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	GR130-029	53	22969673	0
	Large Central Metro	1	< 1 day	1d	Anemias (D50-D64)	GR130-030	34	22969673	0
	Large Central Metro	1	< 1 day	1d	Hemorrhagic conditions and other diseases of blood and blood-forming organs (D65-D76)	GR130-031	19	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"Endocrine, nutritional and metabolic diseases (E00-E88)"	GR130-033	58	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Short stature, not elsewhere classified (E34.3)"	GR130-034	26	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Volume depletion, disorders of fluid, electrolyte and acid-base balance (E86-E87)"	GR130-037	14	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"All other endocrine, nutritional and metabolic diseases (E00-E32,E34.0-E34.2,E34.4-E34.9,E65-E83,E85,E88)"	GR130-038	17	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	Diseases of the nervous system (G00-G98)	GR130-039	53	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other diseases of nervous system (G04,G06-G11,G12.1-G12.9,G20-G72,G81-G92,G93.0,G93.2-G93.9,G95-G98)"	GR130-044	47	22969673	0
	Large Central Metro	1	< 1 day	1d	#Diseases of the circulatory system (I00-I99)	GR130-046	187	22969673	0
	Large Central Metro	1	< 1 day	1d	Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)	GR130-047	62	22969673	0
	Large Central Metro	1	< 1 day	1d	Cardiomyopathy (I42)	GR130-049	37	22969673	0
	Large Central Metro	1	< 1 day	1d	Cerebrovascular diseases (I60-I69)	GR130-051	11	22969673	Unreliable
	Large Central Metro	1	< 1 day	1d	"All other diseases of circulatory system (I00-I25,I31,I34-I38,I44-I45,I47-I51,I70-I99)"	GR130-052	75	22969673	0
	Large Central Metro	1	< 1 day	1d	"Diseases of the respiratory system (J00-J98,U04)"	GR130-053	50	22969673	0
	Large Central Metro	1	< 1 day	1d	"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)"	GR130-062	42	22969673	0
	Large Central Metro	1	< 1 day	1d	Diseases of the digestive system (K00-K92)	GR130-063	82	22969673	0
	Large Central Metro	1	< 1 day	1d	"#Hernia of abdominal cavity and intestinal obstruction without hernia (K40-K46,K56)"	GR130-065	58	22969673	0
	Large Central Metro	1	< 1 day	1d	"All other and unspecified diseases of digestive system (K00-K28,K30-K38,K57-K92)"	GR130-066	20	22969673	0
